@0,120.seq 5.1
@0,126.seq 5.4
@0,96.seq 5.0
@12,-102.seq 4.4
@-12,114.seq 4.9
@-12,120.seq 5.0
@12,120.seq 4.9
@-12,126.seq 5.0
@12,144.seq 5.0
@-12,156.seq 4.9
@-12,162.seq 5.2
@12,-90.seq 5.0
@12,-96.seq 4.9
@18,-102.seq 4.3
@18,120.seq 4.9
@18,144.seq 4.9
@-18,168.seq 5.3
@-18,-174.seq 5.4
@-18,-180.seq 5.3
@18,-66.seq 4.2
@-18,-72.seq 4.8
@18,-72.seq 4.5
@24,120.seq 4.9
@24,126.seq 4.9
@24,138.seq 4.8
@-24,168.seq 5.2
@-24,-174.seq 5.1
@-24,-180.seq 5.5
@-24,-66.seq 4.6
@-24,-72.seq 5.1
@30,-120.seq 4.1
@30,138.seq 5.1
@-30,-180.seq 5.3
@30,24.seq 4.2
@-30,-72.seq 4.9
@36,-120.seq 4.2
@36,-126.seq 4.1
@36,138.seq 5.2
@-36,-180.seq 5.1
@36,18.seq 4.6
@36,24.seq 4.5
@36,30.seq 4.1
@36,66.seq 4.8
@36,-6.seq 4.1
@-36,-72.seq 4.9
@36,72.seq 4.9
@42,0.seq 4.1
@42,-114.seq 4.1
@42,12.seq 4.1
@42,138.seq 4.8
@42,144.seq 5.1
@42,150.seq 5.0
@-42,174.seq 4.6
@42,18.seq 4.1
@42,6.seq 4.1
@48,12.seq 4.1
@48,156.seq 5.0
@48,-174.seq 4.7
@48,-180.seq 4.9
@48,6.seq 4.1
@54,-156.seq 4.4
@54,-168.seq 4.5
@60,-150.seq 4.2
@60,-156.seq 4.2
@-60,-30.seq 5.3
@-6,102.seq 5.2
@-6,126.seq 5.2
@6,126.seq 5.2
@-6,132.seq 4.9
@-6,138.seq 5.1
@-6,144.seq 5.3
@-6,150.seq 5.5
@6,-78.seq 4.6
@24,84.seq 4.1
@24,102.seq 4.2
@24,66.seq 4.1
